TRIALS, THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,, THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,, CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin ,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
74,10938,8.11184,6221.731562,1.52346,822.698,0.838326779821751,2.00167563523333,683,1067,0.97,14.46,, 10736.9,65.1844,3690,50.0878,0,1.9,1.85,, 1.9,3813M,1.9,3813M,7,1918,2,34,405,41,174,1271,9.22,1,1734,226,16,5,1,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
119,10681.4,8.1815,3923.957873,1.4578,653.008,0.853936232603704,1.86470412891852,424,880,3.75,14.05,, 8174.29,51.82,4700,52.3043,0,43.67,43.66,, 1.81,2129M,1.81,2129M,10,7505,2,39,422,19,88,2544,2.86,2,1186,168,14,19,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
120,10465.1,8.24371,4029.988521,1.47531,572.679,0.893282987887318,1.89618956072593,510,624,0.54,31.82,, 10262.2,68.1733,4600,53.7156,0,1.85,1.76,, 1.83,1409M,1.83,1409M,9,5099,2,40,472,29,80,3246,3.84,2,765,145,13,17,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
114,11070.1,8.2489,3746.279992,1.53532,659.387,0.882299839503336,1.98765296063704,426,738,5.71,18.24,, 10862.2,64.4689,1790,46.2433,0,2.5,2.5,, 1.88,2096M,1.88,2096M,9,5422,2,37,450,26,58,3064,4.79,2,1243,195,15,24,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
25,11116.1,8.27838,11707.824136,1.56466,811.377,0.798724967801534,2.04896409023333,759,998,3.01,8.14,, 10905.5,64.1322,2200,49.9944,0,1.78,1.76,, 1.9500000000000002,3619M,1.95,3619M,6,3996,2,35,427,36,199,1273,8.67,1,1578,249,14,12,1,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
53,10908.3,8.31771,3759.932691,1.51084,948.678,0.817117390318614,1.92251191927778,419,1207,1.48,13.49,, 9514.82,58.1222,2200,45.91,0,28.91,28.91,, 1.8599999999999999,3427M,1.86,3427M,6,3092,2,39,431,35,69,1961,7.35,2,1450,140,15,20,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
56,10304.2,8.33079,3774.338076,1.47946,750.547,0.865400168086909,1.88501568962222,401,1077,15.28,18.21,, 10402.7,64.6411,3000,48.2189,0,2.04,9.3,, 1.8,3216M,1.8,3216M,7,6131,1,39,393,30,85,1361,6.72,2,1350,228,12,37,1,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
72,11109.3,8.34135,12501.254679,1.57001,902.963,0.899596489001909,2.02705188795185,825,1021,3.03,19.08,, 10929,64.03,4600,48.7689,0,2.28,2.22,, 1.96,3511M,1.96,3511M,8,3393,2,35,420,37,84,1600,9.03,1,1613,242,15,8,2,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
73,10777.9,8.35559,14951.369503,1.55279,980.918,0.91748931569498,1.92711621675556,876,1165,3.11,19.84,, 10590.6,66.0522,4730,48.4644,0,1.87,1.81,, 1.9300000000000002,3553M,1.93,3553M,9,3804,2,36,426,38,195,1290,11.96,1,1485,238,15,12,2,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
143,10865.6,8.3909,3779.136377,1.53179,758.558,0.918948906959259,1.97137988235556,479,927,8.95,7.8,, 10561.2,66.9833,2180,49.1689,0,7.65,9.63,, 1.8900000000000001,2541M,1.89,2541M,12,4957,2,37,429,28,55,1931,1.16,2,1483,145,15,24,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
104,10940.1,8.39729,3945.33375,1.51744,788.331,0.836621717747784,1.95148564755556,431,1002,2.45,11.21,, 10727.5,65.2444,608.17,45.8589,0,1.77,1.74,, 1.87,3452M,1.87,3452M,9,5793,2,38,438,25,73,1495,4.6,2,1239,165,13,22,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
39,11138.8,8.46134,23118.933071,1.55489,890.474,0.909496548290276,1.96580157258205,756,1002,1.22,6.7,, 10932.4,63.8622,2890,46.9356,0,1.78,1.75,, 1.9300000000000002,3264M,1.93,3264M,9,1702,4,33,417,20,175,4967,1.28,1,2753,149,15,20,1,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
24,11311,8.46381,15415.90463,1.61741,929.306,0.922005029330726,2.06338706654815,842,1072,0.91,8.86,, 11083,60.6533,4330,50.4,0,1.33,8.89,, 1.98,3480M,1.98,3480M,5,4047,2,35,424,36,169,1013,9.25,1,1674,250,14,10,2,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
150,10510.1,8.46709,4032.834484,1.49947,678.77,0.838244699119769,1.87559968357778,440,913,13.34,8.63,, 10654.9,65.6822,3490,46.65,0,2.17,2.11,, 1.8599999999999999,2449M,1.86,2449M,12,4593,2,34,440,25,60,2108,2.23,2,1192,92,13,27,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
147,11108.7,8.48841,3674.205825,1.51322,707.879,0.822311070535878,1.91063641817407,423,923,2.24,24.15,, 10896.6,64.2478,3090,47.0533,0,2.18,2.14,, 1.88,2609M,1.88,2609M,10,5269,2,36,416,28,55,1591,4.95,2,1396,160,15,29,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
66,10425.6,8.5294,6110.905505,1.4781,887.574,0.865139684770837,1.89643206000741,669,1036,0.96,14.46,, 10226.8,68.4389,4700,51.3111,0,1.71,1.67,, 1.8399999999999999,3778M,1.84,3778M,9,4982,3,37,410,41,20,7132,7.31,1,1282,165,13,36,1,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
