Trial,cpu_request,mem_request,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
27,1,4107.0M,ShenandoahGC,489,45,106,2170,7.3,7,2940,90,10,39,7,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,137.633,6115.33,1326.61,0.69541,0.605945439637037,0.792763133451852,1273,1377,0,3.30124,1,4107.0M,1,4107.0M,0
78,1.4,1716.0M,ZGC,334,27,136,8520,14.6,7,2335,58,13,9,1,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,116.733,7179.5,340.471,0.971014,0.836475716340741,1.11578273632851,321,358,0,3.40179,1.4,1716.0M,1.4,1716.0M,0
97,2.9,638.0M,SerialGC,484,33,172,8590,3.4,3,1410,67,19,17,5,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,56.45,14110.3,461.516,2.31413,2.14026302997407,2.60350693092963,458,463,0,3.71954,2.9,638.0M,2.9,638.0M,180.167
99,2.6,483.0M,SerialGC,495,27,159,9530,1.6,3,1900,114,18,22,5,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,51.95,15041,440.605,2.17641,1.99404186192593,2.34205415907407,437,442,0,3.84613,2.6,483.0M,2.6,483.0M,212.833
5,1.6,4632.0M,ParallelGC,485,35,90,9600,13.6,7,1035,195,0,33,7,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,43.8,17153.8,535.613,1.48341,1.3531018123506,1.58479005795185,457,584,0,3.60097,1.6,4632.0M,1.6,4632.0M,742
26,3.9,5075.0M,ZGC,439,50,22,5360,10.1,5,2490,62,16,38,10,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,26.4833,30697.3,256.34,3.90953,3.40297963079585,4.09706622791111,245,262,0,4.6129,3.9,5075.0M,3.9,5075.0M,2047.33
14,3.6,3413.0M,G1GC,382,11,123,2490,4.5,6,615,72,5,16,9,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,27.4667,27816.5,507.275,3.59429,3.36462452307407,3.79181662674074,427,547,0,4.69719,3.6,3413.0M,3.6,3413.0M,2275
18,1.9,2574.0M,G1GC,382,32,0,5410,6.5,3,995,119,2,29,9,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,25.95,28151.5,468.124,1.8879,1.69227876138148,1.99066081690741,395,496,0,3.73691,1.9,2574.0M,1.9,2574.0M,2371.33
9,3.4,5219.0M,SerialGC,350,49,11,4390,13.8,1,3210,106,19,45,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,26.7167,27868.8,551.518,3.39752,3.24021541010741,3.59473355907037,520,580,0,4.32742,3.4,5219.0M,3.4,5219.0M,2446.67
58,2,1469.0M,SerialGC,442,35,179,7700,14.6,5,2500,27,18,5,3,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,26.5333,26649.5,535.868,1.99556,1.75619818940196,2.06985849880741,529,548,0,3.84029,2,1469.0M,2,1469.0M,2468.5
