TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
28,20623.5,4.4966,3002.46266,3.95915,1166.82,3.50173329107089,4.1331223220773,994,1329,14.04,27.07,20818.8,24.5644,3410,33.1867,0,1.38,1.34,4,4096M,4,4096M,14,7930,3,35,446,50,133,6470,9.3,2,3470,116,20,22,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
142,20901.9,4.4373,3084.941252,3.93411,906.655,3.76632293902698,4.16727724918519,813,1063,3.49,12.65,20466.1,24.9733,3470,34.3989,23.3333,1.78,1.74,4,4096M,4,4096M,1,660,9,35,482,31,30,5750,8.8,4,3834,154,6,34,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
173,20869.5,3.94117,3491.954593,3.98665,1594.59,3.63898048566611,4.1998520184,1235,2220,1.24,43.4,20449.7,25.0256,3290,32.1,0,1.78,1.75,4,4096M,4,4096M,2,1400,9,43,435,17,44,6170,9.1,5,4047,167,4,35,5,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
138,20666.2,3.90125,3499.81834,3.98669,884.539,3.61422272577689,4.24825710041852,742,1049,1.94,5.79,20233.7,25.28,3510,33.4756,0,1.37,1.33,4,4096M,4,4096M,2,1070,9,45,485,32,44,5410,8.9,4,4130,149,5,33,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
152,21110.9,3.80322,3685.808797,4.00654,1515.97,3.48051902208414,4.21757166674445,1213,1950,4.77,21.65,20699.9,24.7256,3490,34.0111,27.7778,2.13,2.09,4,4096M,4,4096M,2,630,9,44,416,32,43,7970,11.4,5,4519,172,2,36,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
171,20890.5,3.49662,3970.771154,4.01137,954.905,3.47447998546754,4.14120251059259,884,1128,3.43,11.94,20473,24.9778,3420,34.6744,206.667,1.86,1.79,4,4096M,4,4096M,3,360,10,49,429,34,33,7630,10.2,4,4549,173,5,33,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
34,19589.5,4.20136,3103.584795,3.98968,816.87,3.51146419288541,4.19551642134074,705,1018,11.71,12.37,19848.9,25.78,3490,33.2833,0,1.75,1.74,4,4096M,4,4096M,3,9990,7,53,461,24,108,7970,5.2,5,886,66,16,38,10,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
21,20868.2,4.46909,3113.773832,4.04897,943.688,3.4625814249552,4.17399181874815,776,1141,4.88,15.66,20442.2,25.0356,3290,32.2389,0,1.9,1.91,4,4096M,4,4096M,15,2220,2,36,348,20,141,4470,12.5,5,1229,55,9,29,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
105,20272.7,4.29339,3226.380483,3.96743,911.932,3.43616381007855,4.13171922946667,746,1054,14.33,29.34,20461.9,25.0011,3310,33.4356,0,1.64,1.61,4,4096M,4,4096M,3,2710,10,38,353,44,71,4430,9.1,3,2107,120,11,19,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
200,20395.1,4.29128,3290.295004,3.94935,834.993,3.53187817684189,4.20297143524815,703,975,3.96,10.03,20039.6,25.5489,3420,32.7322,30304.4,2.04,2.04,4,4096M,4,4096M,2,0,10,43,418,31,43,8040,10.7,4,4397,145,4,32,10,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
109,19723.8,3.84309,3553.806459,4.00841,769.211,3.50270066563634,4.1973605679037,685,905,17.85,30.31,19909.3,25.7,3510,34.0633,0,2.02,1.99,4,4096M,4,4096M,8,660,11,70,341,41,82,3440,8.1,5,2274,146,6,35,10,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
151,20970.6,3.83039,3799.317275,3.99782,1582.6,3.54594762419447,4.17836590666667,1237,1953,0.56,4.21,20520.3,24.9211,3420,34.9122,4.44444,1.57,1.55,4,4096M,4,4096M,2,740,9,44,416,33,45,8040,10.4,5,4229,167,3,37,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
