Trial,memoryRequest,cpuRequest,gc,virtualized,shareclasses,aggressive,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
7,716,3.1,metronome,FALSE,FALSE,TRUE,1,123.622,1580.67,339.261,1.77697,1.54113873035556,2.09423695247062,334,354,3.1,716.0M,3.1,716.0M,0
45,3840,3.3,optavgpause,FALSE,TRUE,TRUE,1,122.556,1625.44,504.54,1.86214,1.58118264746667,2.16654990637418,440,589,3.3,3840.0M,3.3,3840.0M,0
36,3443,3.5,optavgpause,FALSE,TRUE,FALSE,1,122.522,1574.44,589.846,2.00691,1.76569070789259,2.29432244102222,535,633,3.5,3443.0M,3.5,3443.0M,0
27,3205,3,metronome,FALSE,TRUE,FALSE,1,122.378,1591.44,518.442,1.71397,1.43864951782593,2.01248994230588,423,677,3,3205.0M,3,3205.0M,7.44444
37,3820,3.2,optavgpause,TRUE,FALSE,FALSE,1,121.2,1605.89,482.519,1.81232,1.58282440642593,2.08250560090338,416,537,3.2,3820.0M,3.2,3820.0M,7
3,1760,2.7,optavgpause,TRUE,TRUE,FALSE,1,120.744,1589.56,526.141,1.56637,1.32288486215556,1.82920913800683,442,558,2.7,1760.0M,2.7,1760.0M,8.22222
0,3021,2.9,optthruput,TRUE,TRUE,TRUE,1,120.422,1616,554.38,1.66581,1.43497164758148,1.9600595533394,414,700,2.9,3021.0M,2.9,3021.0M,0
5,3357,3.2,optthruput,TRUE,FALSE,TRUE,1,117.311,1654.67,519.197,1.81517,1.4937307675,2.08376295616941,449,619,3.2,3357.0M,3.2,3357.0M,7.44444
53,3384,3.4,optavgpause,FALSE,TRUE,FALSE,1,116.922,1665.67,486.547,1.91591,1.64627941154074,2.23827129328519,451,534,3.4,3384.0M,3.4,3384.0M,6.55556
29,2867,2.8,metronome,TRUE,TRUE,TRUE,1,114.767,1712.67,463.102,1.61132,1.37682914257778,1.87031562935185,427,537,2.8,2867.0M,2.8,2867.0M,10.5556
90,3985,2.7,balanced,FALSE,TRUE,TRUE,1,114.289,1718.78,490.673,1.56716,1.35605404412593,1.84633931918095,459,525,2.7,3985.0M,2.7,3985.0M,0
